song_id,melody,articulation,rhythm_complexity,rhythm_stability,dissonance,atonality,mode
1,8.8,4,4,6.66666666667,3.4,7.4,6
2,9,2.8,2.33333333333,8,2.2,7.6,3.75
3,7.6,8,6.33333333333,7.66666666667,3.2,6.6,4.75
4,7.2,3.2,5,6.25,2.4,7.8,6.2
5,8,3.8,4.75,6.5,2.6,7.2,6.2
6,7.2,2.6,3.25,7.25,2.2,7.2,7.6
7,7.2,5.8,4,8.75,1.8,8,4.4
8,7.8,3.8,4.25,7,2.8,7,5.8
9,8.8,3.2,3.75,8,2.2,7.8,5
10,5.6,7.6,6.33333333333,4.75,2.4,7.75,2.6
11,7.8,2.8,5.66666666667,4.5,2.4,6.66666666667,6.75
12,7.2,5.6,6,7.75,1.6,7.5,3.4
13,7.6,3.6,6,5.5,3.4,7.25,5.4
14,8.8,3.2,6.33333333333,5.5,2,7.33333333333,4
15,9,3.2,5.66666666667,5.25,2.6,7.33333333333,5.25
16,5.6,6.2,6,5,4.2,7,6
17,6.2,2.8,5,4.75,2.4,7.25,7.4
18,7.4,6.8,4,6.5,3.2,9,2.8
19,8.4,3.6,4,6.25,3.2,8,2.75
20,8.2,5,6,6.66666666667,3.4,6.6,3.75
21,7.8,3.8,4.5,5,2.8,7.8,2.6
22,8.8,2.8,4.5,4.75,2.4,7.4,5
23,8,6.4,5,7,3,6.8,2.75
24,7.6,7.6,6.25,7.5,3.8,8.2,6.6
25,6,6,5,3.66666666667,3.4,6.2,4
26,8,7.2,6,8,2.8,7.6,5.4
27,6.8,7,6.25,7.75,3,7.6,7.8
28,7.2,8.2,6.5,6.5,2,7.6,2.6
29,7.6,4,5.5,7.25,4.6,6.4,7.4
30,8,7,5.25,8,2.4,8.2,2.8
31,9,2,2.5,6.33333333333,2.4,7,4.75
32,7.8,4.4,5.75,5.25,3,6.8,6
33,8,3.6,4.75,5,2.8,7.2,6.75
34,6.8,6.8,5.25,8,3.2,8,2.4
35,6.8,5.6,5,5.25,2.8,8.5,2.8
36,7,5.4,4.75,6.5,3,8,4.2
37,8,4.2,5.25,5.5,3,7.75,3.4
38,6.8,4.2,5,3.5,2.8,8,6.4
39,6.8,7.6,7.33333333333,7,2.6,7.5,2.8
40,6.2,5.8,3,5,3.8,8.75,2.2
41,8.2,6,7.75,5.25,2.2,8.25,4.2
42,8.6,4.2,5.33333333333,6,3.2,8.25,3
43,7.2,5.4,6.25,5.75,2.2,8.75,4.2
44,6.6,4.2,5.33333333333,5.5,3,7.5,4.4
45,9,4.2,4.25,6.5,2,8.6,7.4
46,7.8,3.4,4.75,5.5,2.8,8,3.6
47,6.4,3,5.5,5.25,3.2,7.2,6.8
48,6.2,5.6,6.5,4,3.2,7.4,6.2
49,6.8,4.8,6.33333333333,6.75,4.8,7.4,7.75
50,6.4,7.6,7,7.2,2.8,7.5,4.4
51,5.2,6.2,6.66666666667,3.25,3.8,7.5,5.5
52,8,7.4,4.66666666667,8,2.4,7.8,1.75
53,4.8,6.8,6,4,3.8,6.25,4
54,6.6,6.6,7,7,3.8,7.25,3
55,6.8,4.8,3.75,7.2,3,8.2,2.6
56,6.6,4.4,5.25,4.6,3.4,8.2,2.2
57,8.2,3,3.75,5.8,4,7.4,8.2
58,6.8,5.2,6.25,5.2,2.2,7.4,7.2
59,7.6,4.6,5.75,5.8,2.8,7.6,6
60,8.6,3.4,3.5,6.6,1.8,6.6,6.6
61,6.6,6.8,5.75,7.6,2.4,7.8,4.8
62,7,7.2,5.5,6.4,2.6,7.8,2.8
63,7.2,4.6,4.75,4.8,4,6.4,5.8
64,6,8,6,7.6,2.8,7.4,2.4
65,5.4,8.8,7.75,6.2,3.2,8,7.2
66,5.2,7.8,7,4.6,2.6,7.2,6.8
67,6.6,4,5.4,7.25,3.4,7.25,4.4
68,8,2.4,4.25,5.6,3.6,7,4.2
69,6.8,5.6,5.5,5.8,3.4,7.6,4
70,7,4.4,4.75,6.6,2.8,6.8,4.2
71,6.8,6.2,4.75,6.2,2.8,7.6,2.2
72,7,5,5,7.6,2,7.8,4.2
73,7.2,4.2,7.25,5.4,3.2,7,2.2
74,6.2,5.2,6.4,5,2.8,8,6.2
75,5.8,7.4,7,5.2,3.2,8.8,1.6
76,5.6,8.2,7.75,4.8,3.6,7.4,3.4
77,7.8,4.6,4.75,6.6,3.2,6,3.6
78,7.4,6,5.5,6.6,3,7.8,2.2
79,6,7.8,5.75,6.2,2.8,7.4,5.6
80,6,7.2,6.5,6.75,3.8,7.5,2.8
81,7,7,6.25,6.75,4,8.5,2.2
82,7.6,3,6,5,4,8.25,3.4
83,7.8,5.2,3.66666666667,5.75,2.6,6.66666666667,3.8
84,5.75,5.5,5.33333333333,4.66666666667,3.5,7.66666666667,4
85,6.8,6.8,7.25,7,2.2,9.25,2.8
86,5,6.4,6,4,4.2,7,5.4
87,4.8,5,5.33333333333,4.25,4.4,6.5,6.8
88,5.6,7,5.5,6.5,4.2,7.25,6.6
89,5.8,3.6,2.33333333333,6.25,4.2,6.75,3.8
90,5.4,6,6.66666666667,6.75,4.8,8,2.4
91,6.6,4.2,7.5,4.75,4.6,8.25,6.8
92,6.2,4,5.5,5.75,4.2,7.25,4
93,7,5.2,5,5.25,4.4,7.5,3.2
94,5.4,4.8,5.66666666667,6.5,4.2,7,6.2
95,6.4,6.2,5.25,7.25,3.2,8.5,2.2
96,5.6,6.6,5.66666666667,5.75,2.6,7,3
97,3,4.2,6,2,5.4,5,5.4
98,6.6,3,4.33333333333,4.75,4.2,7.25,3.6
99,7.4,3,5,5.25,3.6,8,4.4
100,5.6,5.2,5.75,6.33333333333,3.2,7,5.2
101,6.4,7,4.5,5.75,4,6.75,3.2
102,7.4,6.4,3,7.25,3.2,8.25,3
103,6.6,7.2,3.66666666667,7.25,4,6.75,4.6
104,7.4,6,3.33333333333,7.25,3.4,6.33333333333,5
105,7.8,4,3,6.66666666667,3.6,8.33333333333,7.2
106,8,4.6,4,6.75,3,7,4.8
107,6.75,5,5.25,7,5.25,6.5,5.8
108,5.6,5.6,3.66666666667,6,5.8,7.33333333333,4.6
109,7.25,5.5,3.5,6.66666666667,5.75,6.66666666667,4.5
110,6.8,6,4.33333333333,8.25,4,6.5,5
111,5.6,6,4,7.5,4,6.75,3.6
112,5.6,6,5.66666666667,7.4,5.6,6.5,4.8
113,8,4,4,6.25,3.75,7.25,5.5
114,7,4.8,6,5.4,4.8,7.4,5.2
115,6.75,5.8,4.33333333333,8.66666666667,5,6,6
116,8,3.8,3.66666666667,7,3.6,6.8,6
117,8,3.2,5.66666666667,5.4,3.2,7,4.4
118,7.75,3,3.33333333333,5,3.2,6.5,3.5
119,5.75,6.8,6,6.25,5,6,4.75
120,6.66666666667,6.5,4,7.66666666667,4.5,7,4
121,6.2,5.8,4.5,6.25,6.2,6,5
122,7.8,5.6,4,6,4.2,6.66666666667,2.5
123,7.2,7.2,4.33333333333,8,5.6,6.5,3.4
124,5.25,5.75,4.5,4.66666666667,4.5,6.33333333333,3.25
125,6.4,6.6,4.66666666667,7,5.2,6.66666666667,5
126,5.8,8.2,4.5,7.5,5.6,7,5
127,5.6,6.8,3.5,7,5.8,6,5.8
128,7,6.8,4,7.75,4.2,6.25,4.25
129,6,6.4,2.5,6,4.2,8.25,3.75
130,6,5.6,3,6.75,5.6,5.5,4.75
131,6.6,6,6.33333333333,6.25,4.4,6.66666666667,6.6
132,6.6,7.6,6.66666666667,5.75,4.2,6.33333333333,4.2
133,6.8,4.4,4,5.75,4,6,7
134,7.4,5.6,4,6,4.8,6.75,5.75
135,7,6,6.5,6.25,5.4,5.66666666667,5.75
136,5.4,6.4,4.33333333333,7.25,5,7.66666666667,5.2
137,5.8,7,4.66666666667,8.5,6.6,7,2.75
138,6.4,5.8,4.33333333333,7.66666666667,5,6.66666666667,4.25
139,7.8,4.8,5,6.25,4.6,8.75,7
140,6.8,4.8,5.5,7,5.6,6.75,3.33333333333
141,5.75,4.4,5,7,5.6,6.5,5.5
142,3.75,3.6,2.5,3.33333333333,5.6,3.75,5.25
143,5.25,5.2,4.66666666667,7.75,3.6,5.5,4.4
144,5.75,6.8,6,5.5,5,4.5,2.6
145,6.5,4,2.5,7.5,4.2,5.5,4
146,8,4.2,5,6.25,3.4,6.75,4
147,7.25,5.4,4,6.5,4.2,7,5.6
148,7.5,5.2,2.5,7.33333333333,3.8,6.75,2.5
149,8.25,2.8,2.5,8.25,2.6,7,4.6
150,5,5.2,5.25,7.25,5,7,5.5
151,6.75,5.8,5,8.5,5.6,5.5,5.5
152,5.25,5.6,4.66666666667,6.5,5.4,6.5,5
153,7.75,4.4,4.33333333333,7.5,3.6,7.75,3
154,8,5,2.5,7.5,3.6,7,5
155,6.75,4.6,3.66666666667,5.8,4.2,7.4,3.8
156,6.75,6.6,4,7.4,4.2,7,3
157,6.25,4.4,5.5,4.5,5.4,4.6,5.25
158,6,5.8,3.66666666667,6.6,3.8,7,2.8
159,6.5,6.6,3.66666666667,7.6,3.6,6.8,4.4
160,4.75,6.2,3,8,5.2,7,4.4
161,4.25,4.6,4,6.6,4.6,6.8,6.6
162,6.8,5.4,5,7.25,4.6,6.6,2.5
163,8,3.8,5,8.66666666667,3.6,8.25,3.25
164,9,4,3,7.33333333333,3.6,7.8,4
165,8.2,4.2,3,5.5,3.4,7.4,4.25
166,8.4,4.4,4,7.75,3.8,8.2,4
167,7.4,5.8,4.5,6.75,5.4,6.8,4.6
168,8,4.4,3.25,8,2.8,8,4.8
169,6.25,8.25,4.5,7.75,5.25,7.75,2.75
170,8.4,5.4,5,6.6,3.8,8.2,3.4
171,7.2,5.6,5.5,6.6,4.5,7.4,6.75
172,8,6.4,4,8.2,4,7.2,4.25
173,7.8,6,4.5,7.2,3.8,7.6,2.25
174,7,6.6,7.5,7.25,5.4,6.8,4.75
175,8.75,5.5,5,7.5,3.75,6.75,4
176,8.75,5.4,5,6.5,4,8.2,4
177,8.75,4.5,6,7.75,3,8.25,5.33333333333
178,7.5,6.2,7,8,4.2,7.8,4.25
179,8,6.8,5,7.75,4.6,7.8,4
180,8.5,5.5,6,5.5,4,7.25,4
181,8.5,5.6,6,6.25,4.6,7,6
182,8.75,3.2,6,7,3,6.4,3.5
183,9,4,6,6.25,3.2,7,4.25
184,8.25,6.75,6,7,4.25,8.25,6.33333333333
185,7,7.4,5,8.25,5,7.8,5.5
186,7.25,6,6.5,6.2,4,7.8,5.33333333333
187,6,4.4,8,5.25,4.6,7.4,6.25
188,8.5,5.75,5,6.25,3.75,7.25,4.33333333333
189,7.66666666667,6,5,6.33333333333,3.25,7,5.25
190,8.25,4.5,3.5,7.25,3,7,4.75
191,7.4,6,4,7.6,3,8.8,2.6
192,8,4,4,5.6,3.4,8.4,3.4
193,7.2,4.8,3,6.4,3.6,7.8,4.2
194,7,6,1.5,8,3.8,7.4,4.6
195,8,4.4,2,4.6,3.5,7,4.4
196,7.2,5.8,3.33333333333,6.4,3.8,8,3
197,5.8,6.6,5,6.6,5.6,7,5
198,6.2,8,4.66666666667,7.6,3.8,6.75,3
199,6.6,6.2,4.33333333333,6,4,8,4.2
200,6.6,5.8,3.33333333333,7,4.4,8,3
201,3,8.8,6.25,5,5.8,4.5,6
202,4.4,7.4,4.33333333333,5.8,4.8,8,5.8
203,4.8,1.2,3.5,3.2,4,5.5,5.6
204,4,4.8,3,5.2,5.4,5.75,8
205,7,2.2,5.25,4.4,2.8,7.25,5.6
206,4.6,8.8,3.5,8,4.6,7.75,3.2
207,3.8,8.4,4.5,7.5,5,7,4.4
208,3.5,5.6,5,5.25,4.6,5.66666666667,4.8
209,5.4,7.8,4,7.25,4.8,8.5,4.4
210,1.75,2.6,1.33333333333,3,4,5,5.8
211,3.2,8.2,4.75,6,5,5.66666666667,4
212,3,6.4,6.5,4.5,4.8,5.33333333333,5
213,5,6.8,4.33333333333,7.25,4.6,6.5,4.6
214,5,8,1.66666666667,8,3.6,9,5.2
215,5.4,7.8,5,5.75,3.6,7,5.6
216,4.2,8.4,4.33333333333,7.5,4.2,8.33333333333,6.4
217,5.8,3.6,4,4.5,2.8,6,6.2
218,4.2,6.4,4.75,7,4.8,6.66666666667,4.2
219,5.4,6.8,5.66666666667,5.5,4.4,6.33333333333,6.4
220,4.8,7.4,5,5.25,5,5.33333333333,5
221,6.6,4.2,4.66666666667,6.5,5,7.75,6.2
222,3.5,7.75,4.66666666667,5.33333333333,4,7,4.75
223,4,7,4,9,5.75,8,6
224,4.4,6,6.33333333333,4.25,4.6,7,5.4
225,1.5,2.5,5,1.75,5,5.25,5.25
226,7.25,3.75,5,5.25,5,7,5.5
227,4,5,5.5,4.5,5.5,7,5.25
228,5.2,8.6,7,6.2,4.6,8.4,6
229,5.2,7.8,5,6.6,5.4,7.4,6.4
230,4.8,7.8,5.33333333333,6.6,4.8,8,6.6
231,5,8.2,6,7.4,4.6,7.4,6.2
232,5.4,5.4,7,3.8,4.2,6.6,5.8
233,4.2,8.8,5.5,7.5,6,7,6
234,3.2,6,8.33333333333,6,7.2,5.25,5.2
235,4.8,7.2,7,5.5,6.6,7.5,7
236,5.2,8,6.5,7,5.4,7,6.6
237,2.4,2.2,4.5,2.5,4.6,6,6.4
238,5,3,5.5,3.25,5,4.75,6
239,3.6,7.4,6.5,6,6.4,6,5.2
240,3.4,4.6,8.33333333333,3.5,6.8,4.25,5
241,5,5.6,4.5,7,4.6,6,5.2
242,6.6,4.4,3.5,6.5,4,6,4.4
243,4.2,8,8,7.25,6.4,6.25,7.4
244,1.6,1.8,6.5,4.25,5.2,4.5,5.4
